NFE	BestRunningMin
163	23.0732102
164	23.073208
165	23.073192900000002
166	23.0731653
167	23.0730756
168	23.0730704
169	23.073063400000002
170	23.0730419
171	23.0730133
172	23.072993599999997
173	23.0729476
174	23.072945999999998
175	23.0729332
176	23.0729271
177	23.0729271
178	23.0729271
179	23.0729271
180	23.0729271
181	23.0729271
182	23.0729271
183	23.0729271
184	23.0729271
185	23.0729271
186	23.0729271
187	23.0729271
188	23.0729271
189	23.0729271
190	23.0729271
191	23.0729271
192	23.0729271
193	23.072924699999998
194	23.0729223
195	23.0728766
196	23.0728686
197	23.0728206
198	23.0727171
199	23.0727136
200	23.072707400000002
201	23.072654399999998
202	23.0726345
203	23.0726337
204	23.0726114
205	23.0726114
206	23.072599000000004
207	23.0725377
208	23.0725377
209	23.0725377
210	23.0725377
211	23.0725377
212	23.0725377
213	23.0725377
214	23.0722258
215	23.0721854
216	23.0721802
217	23.0721523
218	23.072150999999998
219	23.072128
220	23.072115699999998
221	23.072115699999998
222	23.071972
223	23.0719473
224	23.0719303
225	23.071929599999997
226	23.071879099999997
227	23.071879099999997
228	23.071845
229	23.0718208
230	23.071817400000004
231	23.071817400000004
232	23.071817400000004
233	23.0718173
234	23.0718168
235	23.0718163
236	23.0718134
237	23.0718034
238	23.0717992
239	23.0717962
240	23.0717942
241	23.0717942
242	23.0717631
243	23.0717631
244	23.0717631
245	23.0717631
246	23.0717631
247	23.0717631
248	23.0717631
249	23.0717631
250	23.0717631
251	23.0717631
252	23.0717631
253	23.0717631
254	23.0717631
255	23.0717631
256	23.0717631
257	23.0717631
258	23.0717631
259	23.0717631
260	23.0717631
261	23.0717631
262	23.0717631
263	23.0717213
264	23.071667799999997
265	23.071666299999997
266	23.0716437
267	23.071588900000002
268	23.0715692
269	23.071537999999997
270	23.0715344
271	23.071531800000002
272	23.071495000000002
273	23.0714775
274	23.0714726
275	23.071469399999998
276	23.0714641
277	23.0713815
278	23.071375800000006
279	23.071353
280	23.0713523
281	23.071232199999997
282	23.071211599999998
283	23.071202999999997
284	23.071152899999998
285	23.0711004
286	23.071058799999996
287	23.0710359
288	23.0710234
289	23.071018199999997
290	23.070984
291	23.0709629
292	23.0709589
293	23.070950700000004
294	23.0709432
295	23.0709365
296	23.070935400000003
297	23.070931
298	23.0709186
299	23.0708914
300	23.0708816
301	23.0708816
