%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      0.8479187783   4.945546381    -4.094571296   1.988446425    -2.063400526   -1.734059996   0.04259290805  1.166580101    3.97388397     -1.09520893    4201.865458    
46       NO_ID      4.175401753    -3.90433401    2.012727087    -1.305397842   4.078200289    0.9639311107   -5.12          3.664227834    -4.989176385   4.592010047    -25431.82007   	-1.34968e+07	-1.34968e+07	-1.34968e+07
47       NO_ID      -4.127251418   4.879947752    2.601847114    1.032300398    3.803352651    -4.40238827    -0.7775924658  -2.914048983   3.306034165    1.061400152    16426.11571    	-1.34968e+07	-1.34968e+07	-1.34968e+07
48       NO_ID      -4.977689262   -1.261639932   -1.988695755   -4.133754669   4.312713485    -4.89687373    2.69855269     -2.828555665   3.755579163    4.401162151    -248460.7687   	-1.34968e+07	-1.34968e+07	-1.34968e+07
49       NO_ID      1.756855097    -1.494625633   2.531754262    -4.936772539   -3.247067819   1.994572942    0.08698438085  -5.029870335   3.618162936    -2.074341613   -534.392319    	-1.34968e+07	-1.34968e+07	-1.34968e+07
50       NO_ID      -1.62372893    4.032493806    5.046387374    -4.766105132   1.384830407    -2.734999358   -3.873245242   4.514429984    -4.664949857   3.904885895    37.838935      	-1.34968e+07	-1.34968e+07	-1.34968e+07
51       NO_ID      -3.030400849   3.863777582    5.12           -3.056161523   -2.677893249   -4.862960941   -1.085307046   -0.07919012765 2.268207138    -2.032498604   116662.3325    	-1.34968e+07	-1.34968e+07	-1.34968e+07
52       NO_ID      -3.878949587   0.007670013571 -0.2896081     0.8417748927   -1.906505023   5.12           -3.037247673   -1.08022372    -2.894444483   4.289250263    662050.4657    	-1.34968e+07	-1.34968e+07	-1.34968e+07
53       NO_ID      5.12           2.714500264    2.368812365    -3.846665626   -2.159210406   -1.273779028   -4.075067225   1.421437991    2.198066419    2.392631247    -39787.03036   	-1.34968e+07	-1.34968e+07	-1.34968e+07
54       NO_ID      -3.760349629   2.981893519    -0.976396973   -2.130996603   -2.034522473   -1.972169616   3.348480349    4.047868182    2.511299022    1.796352854    5306.677785    	-1.34968e+07	-1.34968e+07	-1.34968e+07
55       NO_ID      -0.9384093744  1.87777727     -2.270759214   -3.649139562   4.440515573    1.567494883    1.073321904    -0.9180613708  3.717505983    2.251577904    -54.132785     	-1.34968e+07	-1.34968e+07	-1.34968e+07
56       NO_ID      2.435380056    4.022600713    -3.679266278   4.535702641    -3.274534678   -4.93009917    -5.12          0.4772620482   0.4928653044   4.778627106    24.545197      	-1.34968e+07	-1.34968e+07	-1.34968e+07
57       NO_ID      1.494991473    -2.324914393   1.733604512    -1.758342112   -4.439351701   -3.222594764   -1.217794774   -4.634766063   5.12           4.467536626    -221.595617    	-1.34968e+07	-1.34968e+07	-1.34968e+07
58       NO_ID      -3.844924442   3.70492667     4.647704179    0.4583619712   1.422327334    -2.303068659   4.64827862     -0.5028098322  -3.918978671   -4.443192195   -9968.111371   	-1.34968e+07	-1.34968e+07	-1.34968e+07
59       NO_ID      -3.411553411   3.831375428    2.984486911    -2.207106079   -4.483345258   3.637953986    1.886030933    -2.644837337   0.3069361495   3.745512443    4303.385396    	-1.34968e+07	-1.34968e+07	-1.34968e+07
60       NO_ID      -4.061458209   4.130579831    -1.192814279   4.477835489    1.510199007    4.418515598    3.370061114    5.12           -3.951763508   -1.637144286   -49520.78485   	-1.34968e+07	-1.34968e+07	-1.34968e+07
61       NO_ID      -2.298362278   1.448872251    2.137527924    0.3989589595   -3.446908936   3.120401069    -3.367990059   0.5399470661   4.995767119    5.12           -326.105402    	-1.34968e+07	-1.34968e+07	-1.34968e+07
62       NO_ID      -1.333937393   1.668110447    -2.359706719   -3.986649265   -0.6895637991  5.03476096     4.631957058    -0.7309773891  -0.7072006732  -3.536854433   27992108.93    	-1.34968e+07	-1.34968e+07	-1.34968e+07
63       NO_ID      -1.414010951   2.81365236     2.368574612    -2.672754964   3.307598973    2.737790811    -5.12          -3.688621793   3.8370897      -0.7777667922  70974.31424    	-1.34968e+07	-1.34968e+07	-1.34968e+07
64       NO_ID      -3.268828014   -3.569136012   -5.12          3.935155072    0.06674989213  -2.177448789   -0.3076859869  5.110080842    -4.133983064   -1.552690961   824.909005     	-1.34968e+07	-1.34968e+07	-1.34968e+07
65       NO_ID      2.080020016    -0.04628648478 3.359234201    -4.595949052   3.298770158    -2.78318539    2.808284992    -5.088037829   3.644312828    4.481870673    981.812838     	-1.34968e+07	-1.34968e+07	-1.34968e+07
66       NO_ID      -5.12          0.8013768893   -4.758751242   -3.146165628   -0.2112483031  0.6508006153   -4.869542284   4.279612725    4.587976389    0.8390659666   -32132.19378   	-1.34968e+07	-1.34968e+07	-1.34968e+07
