Run 1	   Run 2	   Run 3	   Run 4	   Run 5	   Run 6	   Run 7	   Run 8	   Run 9	  Run 10	Best Average Running Min	NumFeasible
7.96e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.91e+02	  3.92e+02	  5.44e+02	  1.01e+03	  3.37e+02	  5.43e+02	  5.62e+02	0
6.58e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.91e+02	  3.92e+02	  5.44e+02	  1.01e+03	  3.37e+02	  5.43e+02	  5.48e+02	0
6.58e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.91e+02	  3.92e+02	  5.44e+02	  1.01e+03	  3.37e+02	  5.43e+02	  5.48e+02	0
6.58e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.91e+02	  3.92e+02	  5.44e+02	  1.01e+03	  3.37e+02	  5.43e+02	  5.48e+02	0
6.58e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.91e+02	  3.92e+02	  5.44e+02	  1.01e+03	  3.37e+02	  5.43e+02	  5.48e+02	0
6.58e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.91e+02	  3.92e+02	  5.44e+02	  1.01e+03	  3.37e+02	  5.43e+02	  5.48e+02	0
6.58e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.91e+02	  3.92e+02	  5.44e+02	  1.01e+03	  3.37e+02	  5.43e+02	  5.48e+02	0
6.58e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.91e+02	  3.92e+02	  5.44e+02	  1.01e+03	  3.37e+02	  5.43e+02	  5.48e+02	0
6.58e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.91e+02	  3.92e+02	  5.44e+02	  1.01e+03	  3.37e+02	  5.43e+02	  5.48e+02	0
6.58e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.91e+02	  3.92e+02	  5.44e+02	  1.01e+03	  3.37e+02	  5.43e+02	  5.48e+02	0
6.58e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.91e+02	  3.92e+02	  5.44e+02	  1.01e+03	  3.37e+02	  5.43e+02	  5.48e+02	0
6.58e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.84e+02	  3.92e+02	  5.44e+02	  1.01e+03	  3.37e+02	  5.43e+02	  5.47e+02	0
6.58e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.84e+02	  3.92e+02	  3.82e+02	  1.01e+03	  3.37e+02	  5.43e+02	  5.31e+02	0
6.58e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.84e+02	  3.92e+02	  3.82e+02	  1.01e+03	  3.37e+02	  5.43e+02	  5.31e+02	0
6.58e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.84e+02	  3.92e+02	  3.82e+02	  1.01e+03	  3.37e+02	  5.43e+02	  5.31e+02	0
6.58e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.84e+02	  3.92e+02	  3.82e+02	  1.01e+03	  3.37e+02	  5.43e+02	  5.31e+02	0
6.58e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.84e+02	  3.92e+02	  3.82e+02	  1.01e+03	  3.37e+02	  5.43e+02	  5.31e+02	0
6.58e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.84e+02	  3.92e+02	  3.82e+02	  1.01e+03	  3.37e+02	  5.43e+02	  5.31e+02	0
6.58e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.84e+02	  3.92e+02	  3.59e+02	  1.01e+03	  3.37e+02	  5.43e+02	  5.29e+02	0
6.58e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.84e+02	  3.92e+02	  3.59e+02	  1.01e+03	  3.37e+02	  5.43e+02	  5.29e+02	0
6.58e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.84e+02	  3.92e+02	  3.59e+02	  1.01e+03	  3.37e+02	  5.43e+02	  5.29e+02	0
6.58e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.84e+02	  3.92e+02	  3.59e+02	  7.52e+02	  3.37e+02	  5.43e+02	  5.02e+02	0
6.58e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.84e+02	  3.92e+02	  3.59e+02	  7.52e+02	  3.37e+02	  5.43e+02	  5.02e+02	0
5.06e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.84e+02	  3.92e+02	  3.59e+02	  7.52e+02	  3.37e+02	  5.43e+02	  4.87e+02	0
5.06e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.84e+02	  3.92e+02	  3.59e+02	  7.52e+02	  3.37e+02	  5.43e+02	  4.87e+02	0
5.06e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.84e+02	  3.92e+02	  3.59e+02	  7.52e+02	  3.37e+02	  5.43e+02	  4.87e+02	0
5.06e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.84e+02	  3.92e+02	  3.59e+02	  7.52e+02	  3.37e+02	  5.43e+02	  4.87e+02	0
5.06e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.84e+02	  3.92e+02	  3.59e+02	  7.52e+02	  3.37e+02	  5.43e+02	  4.87e+02	0
5.06e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.84e+02	  3.92e+02	  3.59e+02	  7.52e+02	  3.37e+02	  4.26e+02	  4.76e+02	0
5.06e+02	  4.55e+02	  4.26e+02	  5.19e+02	  5.84e+02	  3.92e+02	  3.59e+02	  7.52e+02	  3.37e+02	  4.26e+02	  4.76e+02	0
